run_id,architecture,seed,bank,condition_id,accuracy,macro_f1,mae,pearson,raw_mae,raw_pearson,worst_condition_mae,worst_condition_macro_f1,actual_missing_ratio,samples_with_new_masking,raw_sign_conflict_rate,mean_projection_magnitude,argmax_agreement_with_published,per_class_f1,confusion
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.30:random:independent:0,0.46875,0.44285714285714284,1.0024434328079224,0.28366046081319146,1.0377804236486554,0.184668272699155,,,0.10717100743425986,31,0.53125,0.07839036690592766,1.0,"{""Negative"": 0.6, ""Neutral"": 0.42857142857142855, ""Positive"": 0.3}","[[9, 2, 1], [1, 3, 1], [8, 4, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.30:random:independent:1,0.40625,0.4056747849851298,1.0157524260099977,0.03907818280129553,1.0355159868486226,0.15557638506316596,,,0.10717100743425986,31,0.5625,0.0720987363550812,1.0,"{""Negative"": 0.4827586206896552, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [1, 3, 1], [9, 3, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.30:random:independent:2,0.46875,0.44285714285714284,1.0120427114889026,0.10247038855330735,1.0386140109039843,0.14038186769685887,,,0.10717100743425986,31,0.53125,0.06824328242391348,1.0,"{""Negative"": 0.6, ""Neutral"": 0.42857142857142855, ""Positive"": 0.3}","[[9, 2, 1], [1, 3, 1], [8, 4, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.50:random:independent:0,0.40625,0.38730158730158726,1.015545075187832,0.07390466303110937,1.0531274385284632,0.06913053185148564,,,0.175823338481251,31,0.59375,0.09182630635984242,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.42857142857142855, ""Positive"": 0.2}","[[8, 2, 2], [1, 3, 1], [9, 4, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.50:random:independent:1,0.4375,0.4238095238095238,1.009271175082028,0.18541899492998548,1.029426640830934,0.20752679512598807,,,0.175823338481251,31,0.625,0.08066049915626644,1.0,"{""Negative"": 0.5714285714285714, ""Neutral"": 0.5, ""Positive"": 0.2}","[[8, 2, 2], [0, 4, 1], [8, 5, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:1:0.50:random:independent:2,0.4375,0.42686202686202684,1.0158906455088408,0.03919189634628183,1.0445964594837278,0.1469714189897815,,,0.175823338481251,31,0.53125,0.08260913285315036,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2857142857142857}","[[8, 2, 2], [1, 3, 1], [9, 3, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.10:random:independent:0,0.4375,0.42686202686202684,1.0150638091780246,0.06003928442197758,1.0378012245055288,0.16738698571052033,,,0.04436033070471958,31,0.59375,0.07244655175618828,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2857142857142857}","[[8, 2, 2], [1, 3, 1], [9, 3, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.10:random:independent:1,0.4375,0.42686202686202684,1.0134893359024078,0.07980954606457703,1.0359332673251629,0.17944529504682966,,,0.04436033070471958,31,0.625,0.07270439441166818,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2857142857142857}","[[8, 2, 2], [1, 3, 1], [9, 3, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.10:random:independent:2,0.4375,0.42686202686202684,1.013968009914458,0.07144708100716553,1.0371282899286598,0.17330954089882483,,,0.04436033070471958,31,0.59375,0.07215620402731002,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2857142857142857}","[[8, 2, 2], [1, 3, 1], [9, 3, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.30:random:independent:0,0.40625,0.4056747849851298,1.0134987483669073,0.08589880818302262,1.0369931494351476,0.1823768476985826,,,0.10341794370876965,31,0.53125,0.07170518812611698,1.0,"{""Negative"": 0.4827586206896552, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [1, 3, 1], [9, 3, 3]]"
