candidate,view,seed,samples,groups,feature_dim,accuracy,macro_f1,mae,pearson,selected_hyperparameters
B_git_frozen,vision,20260925,100,37,182,0.38,0.33468985996344,0.7413737764045982,-0.35851849214994885,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
B_git_frozen,vision,20260926,100,37,182,0.44,0.3396330680813439,0.70538413479789,-0.20333475875514836,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
B_git_frozen,vision,20260927,100,37,182,0.39,0.3258437127471534,0.6844445185790895,-0.10210569990404122,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
B_git_frozen,vision,20260928,100,37,182,0.47,0.42688450784844684,0.6969864395105866,-0.09351985362864204,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":0.1,""alpha"":100.0}]"
B_git_frozen,fused,20260924,100,37,1802,0.53,0.37720178372352287,0.5580018335844263,0.3404964167203927,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
B_git_frozen,fused,20260925,100,37,1802,0.56,0.4053108451963414,0.5592161031430525,0.3031164882263141,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
B_git_frozen,fused,20260926,100,37,1802,0.53,0.39285898493913757,0.5671716145772315,0.29467869370680416,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
B_git_frozen,fused,20260927,100,37,1802,0.57,0.40261791036984834,0.5286508906282377,0.4267807249873919,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":0.1},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":10.0}]"
B_git_frozen,fused,20260928,100,37,1802,0.56,0.40496277915632756,0.564539098087518,0.23132689476674753,"[{""fold"":0,""C"":1.0,""alpha"":0.1},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,text,20260924,100,37,1538,0.54,0.3923987889505131,0.5447946238621489,0.4114644152449239,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,text,20260925,100,37,1538,0.57,0.4395979377619524,0.5532629795965786,0.36555884935495675,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
C_hybrid_capacity,text,20260926,100,37,1538,0.54,0.39794804346331064,0.5838360413961814,0.3138718716234925,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,text,20260927,100,37,1538,0.54,0.4015059015059015,0.5217927787102655,0.4885190343497851,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,text,20260928,100,37,1538,0.58,0.40887475098001413,0.5675184223771297,0.2553309880770742,"[{""fold"":0,""C"":10.0,""alpha"":0.1},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
C_hybrid_capacity,audio,20260924,100,37,34,0.56,0.4818527800983941,0.6339170488359632,0.10812126169263057,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,audio,20260925,100,37,34,0.53,0.45813669587254496,0.5799147574231919,0.14792366574541704,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,audio,20260926,100,37,34,0.5,0.43344068706387545,0.584078713038066,0.15451436916322947,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":0.01,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.1,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
C_hybrid_capacity,audio,20260927,100,37,34,0.54,0.48794764358866266,0.6139444531291111,0.13926329629611306,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
C_hybrid_capacity,audio,20260928,100,37,34,0.53,0.4725596041385515,0.6581695503165906,0.0958050059606248,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":1.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
C_hybrid_capacity,vision,20260924,100,37,14,0.55,0.5010865152709124,0.5816555589464764,0.1769759186821163,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":10.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
C_hybrid_capacity,vision,20260925,100,37,14,0.4,0.37400644468313643,0.5979105954604514,0.073321784434795,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":10.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
C_hybrid_capacity,vision,20260926,100,37,14,0.41,0.3635531135531136,0.5887764078101113,0.04667251401392824,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":0.1,""alpha"":100.0},{""fold"":4,""C"":0.1,""alpha"":100.0}]"
C_hybrid_capacity,vision,20260927,100,37,14,0.49,0.43854875283446715,0.5758559614477423,0.1028657138285001,"[{""fold"":0,""C"":1.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":0.01,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":0.01,""alpha"":100.0}]"
C_hybrid_capacity,vision,20260928,100,37,14,0.43,0.3905507530991916,0.6023269553792374,-0.024661026184040362,"[{""fold"":0,""C"":0.1,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":10.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":0.1,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
C_hybrid_capacity,fused,20260924,100,37,1586,0.58,0.44727638138490855,0.5266035538646857,0.44011537172036425,"[{""fold"":0,""C"":0.01,""alpha"":100.0},{""fold"":1,""C"":0.1,""alpha"":100.0},{""fold"":2,""C"":0.1,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,fused,20260925,100,37,1586,0.6,0.47051389877294,0.5405408812974577,0.3925880085484732,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,fused,20260926,100,37,1586,0.55,0.43409686609686604,0.580174787668867,0.32000874568333554,"[{""fold"":0,""C"":0.1,""alpha"":10.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
C_hybrid_capacity,fused,20260927,100,37,1586,0.6,0.4611067366579178,0.5166107154725692,0.48898884233306156,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":10.0,""alpha"":100.0},{""fold"":2,""C"":10.0,""alpha"":100.0},{""fold"":3,""C"":0.01,""alpha"":100.0},{""fold"":4,""C"":1.0,""alpha"":100.0}]"
C_hybrid_capacity,fused,20260928,100,37,1586,0.6,0.45270554091724907,0.5566629566753889,0.2588500768283863,"[{""fold"":0,""C"":10.0,""alpha"":100.0},{""fold"":1,""C"":1.0,""alpha"":0.1},{""fold"":2,""C"":1.0,""alpha"":100.0},{""fold"":3,""C"":10.0,""alpha"":100.0},{""fold"":4,""C"":10.0,""alpha"":100.0}]"
