run_id,candidate,bank,condition_id,accuracy,macro_f1,mae,pearson,raw_mae,raw_pearson,worst_condition_mae,worst_condition_macro_f1,actual_missing_ratio,samples_with_new_masking,raw_sign_conflict_rate,mean_projection_magnitude,argmax_agreement_with_published,per_class_f1,confusion
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.10:random:independent:0,0.5673076923076923,0.5423391891575572,0.6511887642671282,0.5161197558618368,0.6637202743185009,0.5122197932749923,,,0.056182048502401064,724,0.25686813186813184,0.034651176408072415,1.0,"{""Negative"": 0.5741176470588235, ""Neutral"": 0.4011142061281337, ""Positive"": 0.6517857142857143}","[[122, 44, 40], [37, 72, 75], [60, 59, 219]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.10:random:independent:1,0.570054945054945,0.5469405107849128,0.6504567250963914,0.5174757788856061,0.6609175767759782,0.5162382298869189,,,0.056182048502401064,724,0.2802197802197802,0.03727090374273094,1.0,"{""Negative"": 0.5879518072289157, ""Neutral"": 0.4010840108401084, ""Positive"": 0.6517857142857143}","[[122, 45, 39], [34, 74, 76], [53, 66, 219]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.10:random:independent:2,0.5837912087912088,0.558358174673757,0.6436994671751838,0.5154887013113176,0.6530273011936755,0.5178719195551525,,,0.056182048502401064,724,0.2554945054945055,0.03659271028826198,1.0,"{""Negative"": 0.5981308411214953, ""Neutral"": 0.4112676056338028, ""Positive"": 0.6656760772659732}","[[128, 37, 41], [41, 73, 70], [53, 61, 224]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.10:random:independent:3,0.5728021978021978,0.5472391290990436,0.6460070709589091,0.5213809170375033,0.6587027797301473,0.5163618083629917,,,0.056182048502401064,724,0.25686813186813184,0.034363126707412706,1.0,"{""Negative"": 0.5687203791469194, ""Neutral"": 0.41225626740947074, ""Positive"": 0.6607407407407407}","[[120, 42, 44], [40, 74, 70], [56, 59, 223]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.10:random:independent:4,0.5728021978021978,0.5506654364047862,0.6487866409930554,0.5118708777710662,0.6593748550698325,0.5086467386937523,,,0.056182048502401064,724,0.26373626373626374,0.03393478343332861,1.0,"{""Negative"": 0.5748792270531401, ""Neutral"": 0.4262295081967213, ""Positive"": 0.650887573964497}","[[119, 41, 46], [34, 78, 72], [55, 63, 220]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.30:random:independent:0,0.5535714285714286,0.5256854020807432,0.6858296537079654,0.4427958845016127,0.6947594745094877,0.4436037662807144,,,0.12130579873272207,724,0.23214285714285715,0.02831563471001419,1.0,"{""Negative"": 0.5517241379310345, ""Neutral"": 0.3870967741935484, ""Positive"": 0.638235294117647}","[[120, 40, 46], [39, 66, 79], [70, 51, 217]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.30:random:independent:1,0.5467032967032966,0.51820811164151,0.6748549982637495,0.4694042661891857,0.6843092483826555,0.4688312631019989,,,0.12130579873272207,724,0.25137362637362637,0.03155667042560303,1.0,"{""Negative"": 0.5496535796766744, ""Neutral"": 0.3688760806916426, ""Positive"": 0.636094674556213}","[[119, 44, 43], [40, 64, 80], [68, 55, 215]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.30:random:independent:2,0.5398351648351648,0.5119707969860657,0.6826428698239091,0.479833872693579,0.6905487882648851,0.48298309893277386,,,0.12130579873272207,724,0.25137362637362637,0.03023038281605139,1.0,"{""Negative"": 0.5323741007194245, ""Neutral"": 0.3728813559322034, ""Positive"": 0.6306569343065693}","[[111, 42, 53], [40, 66, 78], [60, 62, 216]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.30:random:independent:3,0.5563186813186813,0.5230349660782284,0.6861949257802012,0.45183454005789,0.6946901998605456,0.45297462240933434,,,0.12130579873272207,724,0.22664835164835165,0.026490205640706057,1.0,"{""Negative"": 0.5428571428571428, ""Neutral"": 0.37388724035608306, ""Positive"": 0.6523605150214592}","[[114, 39, 53], [41, 63, 80], [59, 51, 228]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.30:random:independent:4,0.5508241758241759,0.5198336285856008,0.6888327461008679,0.45449241028707477,0.6945216415736538,0.4596226762306792,,,0.12130579873272207,724,0.23763736263736263,0.02892705330488446,1.0,"{""Negative"": 0.5342789598108747, ""Neutral"": 0.37790697674418605, ""Positive"": 0.6473149492017417}","[[113, 44, 49], [40, 65, 79], [64, 51, 223]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.50:random:independent:0,0.5192307692307693,0.48396781141075346,0.7174441483798427,0.3947557223058612,0.7227661561190182,0.3956144564468051,,,0.1909987908537763,724,0.23076923076923078,0.025271881248474452,1.0,"{""Negative"": 0.5245901639344263, ""Neutral"": 0.3132530120481928, ""Positive"": 0.6140602582496413}","[[112, 39, 55], [42, 52, 90], [67, 57, 214]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.50:random:independent:1,0.5151098901098901,0.4879265198142749,0.7070018600646448,0.41359381586983046,0.714519944031733,0.416632557841981,,,0.1909987908537763,724,0.24313186813186813,0.029188743249138633,1.0,"{""Negative"": 0.5215419501133787, ""Neutral"": 0.34402332361516036, ""Positive"": 0.5982142857142857}","[[115, 36, 55], [47, 59, 78], [73, 64, 201]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.50:random:independent:2,0.532967032967033,0.5011976741945002,0.7130781324253797,0.4088482967864071,0.72081140451297,0.40699108025350167,,,0.1909987908537763,724,0.24587912087912087,0.02839416558609886,1.0,"{""Negative"": 0.5412844036697247, ""Neutral"": 0.3413173652694611, ""Positive"": 0.6209912536443148}","[[118, 35, 53], [45, 57, 82], [67, 58, 213]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.50:random:independent:3,0.521978021978022,0.4920908228570056,0.7146204602458075,0.40609394580952707,0.7229391904650154,0.4045162664760252,,,0.1909987908537763,724,0.2445054945054945,0.027504633155227692,1.0,"{""Negative"": 0.5117370892018779, ""Neutral"": 0.35294117647058826, ""Positive"": 0.6115942028985507}","[[109, 38, 59], [42, 60, 82], [69, 58, 211]]"
s5_B3_L2_seed42,frozen,confirm,confirm:0:0.50:random:independent:4,0.521978021978022,0.48766777923166393,0.717024133435563,0.40954415680690986,0.7264121016948023,0.40809918742296014,,,0.1909987908537763,724,0.23076923076923078,0.02635217665721263,1.0,"{""Negative"": 0.5058548009367682, ""Neutral"": 0.3373493975903614, ""Positive"": 0.6197991391678622}","[[108, 38, 60], [45, 56, 83], [68, 54, 216]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.10:random:independent:0,0.5989010989010989,0.5787732520186593,0.6319530446544781,0.5359694571808632,0.6483977378786101,0.5273995439169714,,,0.056143892214244775,724,0.2802197802197802,0.040036208441509645,1.0,"{""Negative"": 0.6097560975609756, ""Neutral"": 0.4509283819628647, ""Positive"": 0.6756352765321375}","[[125, 43, 38], [32, 85, 67], [47, 65, 226]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.10:random:independent:1,0.5934065934065934,0.5731401901736677,0.6344048366067828,0.5370931108851397,0.649368501979612,0.5290311642246319,,,0.056143892214244775,724,0.2706043956043956,0.0388437749657084,1.0,"{""Negative"": 0.60431654676259, ""Neutral"": 0.4474393530997305, ""Positive"": 0.6676646706586826}","[[126, 40, 40], [34, 83, 67], [51, 64, 223]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.10:random:independent:2,0.5947802197802198,0.573626017973483,0.6330637324984748,0.5371967888434176,0.6473641733812926,0.531429948931196,,,0.056143892214244775,724,0.27197802197802196,0.03914976517273174,1.0,"{""Negative"": 0.6034063260340633, ""Neutral"": 0.44385026737967914, ""Positive"": 0.6736214605067065}","[[124, 41, 41], [35, 83, 66], [46, 66, 226]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.10:random:independent:3,0.6016483516483516,0.5810806599818873,0.6305078646274223,0.5400928410532148,0.646916626640442,0.5306218464660319,,,0.056143892214244775,724,0.28434065934065933,0.04003912028620367,1.0,"{""Negative"": 0.6053268765133172, ""Neutral"": 0.4562334217506631, ""Positive"": 0.6816816816816816}","[[125, 44, 37], [34, 86, 64], [48, 63, 227]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.10:random:independent:4,0.5906593406593407,0.5719369432439669,0.6346064588477487,0.5333715863511047,0.6493434110185602,0.5267174525972621,,,0.056143892214244775,724,0.28846153846153844,0.0411535627706529,1.0,"{""Negative"": 0.6014319809069213, ""Neutral"": 0.4497354497354497, ""Positive"": 0.6646433990895296}","[[126, 41, 39], [36, 85, 63], [51, 68, 219]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.30:random:independent:0,0.5947802197802198,0.5723934729322347,0.6332450016400808,0.5387645690683642,0.6481593217966812,0.5336879094020651,,,0.12118179079621412,724,0.27472527472527475,0.04015335762831535,1.0,"{""Negative"": 0.6091127098321343, ""Neutral"": 0.43243243243243246, ""Positive"": 0.6756352765321375}","[[127, 42, 37], [36, 80, 68], [48, 64, 226]]"
s5_B3_L2_seed42,frozen,confirm,confirm:1:0.30:random:independent:1,0.5934065934065934,0.5728555579569196,0.6293175670431866,0.5438243441714905,0.6428451196771565,0.5405018059235634,,,0.12118179079621412,724,0.2815934065934066,0.039712624435978276,1.0,"{""Negative"": 0.6095238095238096, ""Neutral"": 0.43733333333333335, ""Positive"": 0.6717095310136157}","[[128, 43, 35], [36, 82, 66], [50, 66, 222]]"
