kind,n_seeds,r_mae_mean,worst_condition_mae_mean,mean_macro_f1,full_macro_f1_mean,full_mae_mean,full_pearson_mean
B2,3,0.6434949581585233,0.6807467778523764,0.5526766903725658,0.5799859490571265,0.6247351368268331,0.6155853929911324
B3,3,0.6371115222809807,0.6644052982330323,0.555683109252263,0.5754515715599092,0.6275142629941305,0.6186429606570901
B4,3,0.6263766723965841,0.6787128607432047,0.556759036923461,0.5827585625487915,0.6008259654045105,0.642376165404419
B5,3,0.6360024756855435,0.6684723695119222,0.5549878477213165,0.5752579757302253,0.6233140826225281,0.6187757635696592
M0,3,0.6247645796291412,0.667373549938202,0.5535460040621389,0.5735950810947413,0.6043689648310343,0.636528126798344
