window_size,n_samples,n_perturbations,mean_abs_class_delta,top1_concentration,win_rate_vs_random,win_rate_vs_point
3,64,1602,0.04169140932511785,0.365132541957157,0.4787765293383271,0.5230961298377028
5,64,998,0.056903195779262956,0.4928811246065701,0.4619238476953908,0.5080160320641283
10,64,548,0.09092968395727612,0.6523663186696077,0.47992700729927007,0.5237226277372263
