method,n_samples,macro_f1_mean,macro_f1_std,mae_mean,pearson_mean,duration_fit,pause_quality,elapsed_sec
uniform,100,0.4458374349647801,0.036948607441065116,0.5612630915473705,0.31205027741089,0.7634201878038077,0.5803776410886843,0.98556
length_weighted,100,0.4541712511172495,0.04404428101931073,0.5628406372134215,0.3093516286261645,0.9701554284741439,0.5872288443733034,0.512725
energy_dp_20,100,0.44451694224881083,0.04145542182451537,0.5669660528218289,0.29719905612385805,0.8395948555554585,0.6394482101871458,2.722886
full_dp_10,100,0.442210953205341,0.03649167446566284,0.5550955882451525,0.31991053294438015,0.8461361833012621,0.5837596862719621,1.726443
full_dp_20,100,0.4465180916346636,0.03984516850282287,0.5628351096257235,0.3062824443684578,0.8569250134175996,0.6659943525982662,2.90549
full_dp_40,100,0.45115712784402434,0.04286216071606092,0.561426804121281,0.3116095989251403,0.8534214829191029,0.7277474750963572,8.539445
