family,method,probe_component,feature_dim_probe,macro_f1_mean,mae_mean,pearson_mean,elapsed_sec
text,bert,text,1537,0.4556725299627128,0.5583043688737386,0.34863411730930255,2.878401
text,hash,text,1537,0.3929276365265497,0.7236778031908561,0.09887432131038294,2.875966
audio_features,full_40,audio,81,0.376114563114135,0.7888491914310402,0.1242617993828814,2.882766
audio_features,energy_voiced_f0_3,audio,7,0.36408675504734933,0.6269283825966008,0.1302866544183044,2.773838
vision_features,full_90,vision,181,0.3116471456118677,0.9406778719151232,-0.15279008833822197,2.786306
vision_features,no_hog_54,vision,109,0.31490929519427685,0.8456966405152677,-0.09799833915444575,2.841452
vision_features,compact_38,vision,77,0.3426117010589104,0.8451641767419211,-0.18561970636439207,2.785229
