method,n_perturbations,mean_abs_class_delta,median_abs_class_delta,mean_abs_raw_delta
连续窗口,1048,0.09653870070989436,0.02696394920349121,0.11812429571922385
随机连续,1048,0.09092967237171695,0.027559667825698853,0.11635051988676645
点散遮挡,1048,0.10204426041548319,0.024590954184532166,0.13319993224563717
