available_modalities,n_rows,r_mae_mean,delta_mae_vs_full_mean,macro_f1_mean
audio,9,0.6074133621321783,0.0030443973011440553,0.5772968935896896
vision,9,0.6038971291648018,-0.0004718356662326438,0.5740524159760791
audio+vision,9,0.6087358355522157,0.004366870721181236,0.575433159876925
text,9,0.6389069596926371,0.03453799486160278,0.5366418386882068
text+audio,9,0.6384848528438144,0.03411588801278009,0.5366923985058029
text+vision,9,0.6388371798727248,0.034468215041690384,0.5356466950013107
text+audio+vision,9,0.6370767381456163,0.03270777331458195,0.5390586267969582
