candidate,kind,seed,r_mae,worst_condition_mae,mean_macro_f1,full_macro_f1,full_mae,full_pearson
B4_seed42,B4,42,0.6145446590014866,0.6694218039512634,0.5651835794786925,0.5935331697598379,0.5887460708618164,0.6464283476030346
B4_seed43,B4,43,0.6191020613624936,0.6728023290634155,0.5617271492804098,0.5886200283681172,0.5937110781669617,0.6419671639787073
B4_seed44,B4,44,0.6454832968257722,0.6939144492149353,0.5433663820112806,0.5661224895184196,0.6200207471847534,0.638732984631515
M0_seed42,M0,42,0.6108390881901696,0.6567917108535767,0.5688898013682651,0.5889314740860138,0.5885180234909058,0.6449807222059615
M0_seed43,M0,43,0.6126386188325428,0.6587145447731018,0.5645779332862999,0.5940914046304603,0.5896978974342346,0.6415945110968606
M0_seed44,M0,44,0.6508160318647113,0.6866143941879272,0.5271702775318519,0.5377623645677501,0.6348909735679626,0.6230091470922099
