run_id,candidate,bank,condition_id,accuracy,macro_f1,mae,pearson,raw_mae,raw_pearson,worst_condition_mae,worst_condition_macro_f1,actual_missing_ratio,samples_with_new_masking,raw_sign_conflict_rate,mean_projection_magnitude,argmax_agreement_with_published,per_class_f1,confusion
s5_B3_L2_seed42,frozen,position,position:0:0.10:start:independent:0,0.5728021978021978,0.5485418860753253,0.6532939728484377,0.509301155431621,0.6632079171927666,0.5087222576007,,,0.056182048502401064,724,0.25274725274725274,0.031207173377038027,1.0,"{""Negative"": 0.5601851851851852, ""Neutral"": 0.4257703081232493, ""Positive"": 0.6596701649175413}","[[121, 44, 41], [40, 76, 68], [65, 53, 220]]"
s5_B3_L2_seed42,frozen,position,position:0:0.10:middle:independent:0,0.5824175824175825,0.55610032090476,0.6573342135530579,0.5019663559589354,0.6683091797691944,0.500735084288454,,,0.056182048502401064,724,0.24725274725274726,0.03350580093236742,1.0,"{""Negative"": 0.5776699029126213, ""Neutral"": 0.42492917847025496, ""Positive"": 0.6657018813314037}","[[119, 36, 51], [37, 75, 72], [50, 58, 230]]"
s5_B3_L2_seed42,frozen,position,position:0:0.10:end:independent:0,0.5769230769230769,0.5502089721840897,0.650842790526774,0.5074491247624751,0.6664291225465854,0.4989478812022445,,,0.056182048502401064,724,0.23076923076923078,0.03095088516838112,1.0,"{""Negative"": 0.5815602836879432, ""Neutral"": 0.4139941690962099, ""Positive"": 0.6550724637681159}","[[123, 34, 49], [36, 71, 77], [58, 54, 226]]"
s5_B3_L2_seed42,frozen,position,position:0:0.30:start:independent:0,0.5508241758241759,0.5195242922060428,0.6802785818378595,0.4633006475206713,0.6892616705518666,0.46261322006837385,,,0.12130579873272207,724,0.22939560439560439,0.027598360467800398,1.0,"{""Negative"": 0.5324384787472036, ""Neutral"": 0.3772455089820359, ""Positive"": 0.6488888888888888}","[[119, 41, 46], [49, 63, 72], [73, 46, 219]]"
s5_B3_L2_seed42,frozen,position,position:0:0.30:middle:independent:0,0.5494505494505495,0.5182560928001785,0.6842428759474511,0.4599207221115652,0.694266234913452,0.46028018500584045,,,0.12130579873272207,724,0.2403846153846154,0.031204907413858635,1.0,"{""Negative"": 0.5467625899280576, ""Neutral"": 0.36627906976744184, ""Positive"": 0.641726618705036}","[[114, 39, 53], [40, 63, 81], [57, 58, 223]]"
s5_B3_L2_seed42,frozen,position,position:0:0.30:end:independent:0,0.5659340659340659,0.5358373323489602,0.6783647165688677,0.474395217917544,0.6882814157160593,0.4693609931682456,,,0.12130579873272207,724,0.24175824175824176,0.030092214802660788,1.0,"{""Negative"": 0.5694444444444444, ""Neutral"": 0.3869047619047619, ""Positive"": 0.6511627906976745}","[[123, 37, 46], [39, 65, 80], [64, 50, 224]]"
s5_B3_L2_seed42,frozen,position,position:0:0.50:start:independent:0,0.5247252747252747,0.49037328921690154,0.7128285702390577,0.40390533673332735,0.7200883915903722,0.40206453529356573,,,0.1909987908537763,724,0.2403846153846154,0.02346820694784542,1.0,"{""Negative"": 0.4977973568281938, ""Neutral"": 0.3393939393939394, ""Positive"": 0.6339285714285714}","[[113, 40, 53], [60, 56, 68], [75, 50, 213]]"
s5_B3_L2_seed42,frozen,position,position:0:0.50:middle:independent:0,0.5137362637362637,0.48576258506542985,0.7131467345491707,0.4000105863001452,0.7240089645332933,0.39792292324893647,,,0.1909987908537763,724,0.24175824175824176,0.029861783704169826,1.0,"{""Negative"": 0.5023474178403756, ""Neutral"": 0.35260115606936415, ""Positive"": 0.6023391812865497}","[[107, 40, 59], [42, 61, 81], [71, 61, 206]]"
s5_B3_L2_seed42,frozen,position,position:0:0.50:end:independent:0,0.532967032967033,0.5015961009454107,0.7174797376778754,0.4006086029844334,0.7221012937191588,0.40177152947987066,,,0.1909987908537763,724,0.22527472527472528,0.024650980157888202,1.0,"{""Negative"": 0.5348837209302325, ""Neutral"": 0.3547400611620795, ""Positive"": 0.6151645207439199}","[[115, 35, 56], [36, 58, 90], [73, 50, 215]]"
s5_B3_L2_seed42,frozen,position,position:1:0.10:start:independent:0,0.5947802197802198,0.5769286999550157,0.6333832533296976,0.5337694471686042,0.6495384589748477,0.5261700859740092,,,0.056143892214244775,724,0.2857142857142857,0.04115720018308077,1.0,"{""Negative"": 0.6009615384615384, ""Neutral"": 0.4631578947368421, ""Positive"": 0.6666666666666666}","[[125, 41, 40], [34, 88, 62], [51, 67, 220]]"
